Name,Description,Category,Type,Requirements,Numerical_Values,ID,Notes
"Wake and bake","Bake 1 cookie","Cookies Baked","Normal","Bake 1 cookie total",1,1,""
"Making some dough","Bake 1,000 cookies","Cookies Baked","Normal","Bake 1,000 cookies total",1000,2,""
"So baked right now","Bake 100,000 cookies","Cookies Baked","Normal","Bake 100,000 cookies total",100000,3,""
"Fledgling bakery","Bake 1 million cookies","Cookies Baked","Normal","Bake 1 million cookies total",1000000,4,""
"Affluent bakery","Bake 100 million cookies","Cookies Baked","Normal","Bake 100 million cookies total",100000000,5,""
"World-famous bakery","Bake 1 billion cookies","Cookies Baked","Normal","Bake 1 billion cookies total",1000000000,6,""
"Cosmic bakery","Bake 100 billion cookies","Cookies Baked","Normal","Bake 100 billion cookies total",100000000000,7,""
"Galactic bakery","Bake 1 trillion cookies","Cookies Baked","Normal","Bake 1 trillion cookies total",1000000000000,8,""
"Universal bakery","Bake 100 trillion cookies","Cookies Baked","Normal","Bake 100 trillion cookies total",100000000000000,9,""
"Timeless bakery","Bake 1 quadrillion cookies","Cookies Baked","Normal","Bake 1 quadrillion cookies total",1000000000000000,10,""
"Infinite bakery","Bake 100 quadrillion cookies","Cookies Baked","Normal","Bake 100 quadrillion cookies total",100000000000000000,11,""
"Immortal bakery","Bake 1 quintillion cookies","Cookies Baked","Normal","Bake 1 quintillion cookies total",1000000000000000000,12,""
"Don't stop me now","Bake 100 quintillion cookies","Cookies Baked","Normal","Bake 100 quintillion cookies total",100000000000000000000,13,""
"You can stop now","Bake 1 sextillion cookies","Cookies Baked","Normal","Bake 1 sextillion cookies total",1000000000000000000000,14,""
"Cookies all the way down","Bake 100 sextillion cookies","Cookies Baked","Normal","Bake 100 sextillion cookies total",100000000000000000000000,15,""
"Overdose","Bake 1 septillion cookies","Cookies Baked","Normal","Bake 1 septillion cookies total",1000000000000000000000000,16,""
"How?","Bake 100 septillion cookies","Cookies Baked","Normal","Bake 100 septillion cookies total",100000000000000000000000000,17,""
"Panic at the biscuit","Bake 1 octillion cookies","Cookies Baked","Normal","Bake 1 octillion cookies total",1000000000000000000000000000,18,""
"Bursting at the seams","Bake 100 octillion cookies","Cookies Baked","Normal","Bake 100 octillion cookies total",100000000000000000000000000000,19,""
"Just about full","Bake 1 nonillion cookies","Cookies Baked","Normal","Bake 1 nonillion cookies total",1000000000000000000000000000000,20,""
"Hungry for more","Bake 100 nonillion cookies","Cookies Baked","Normal","Bake 100 nonillion cookies total",100000000000000000000000000000000,21,""
"All the other kids","Bake 1 decillion cookies","Cookies Baked","Normal","Bake 1 decillion cookies total",1000000000000000000000000000000000,22,""
"Sugar high","Bake 100 decillion cookies","Cookies Baked","Normal","Bake 100 decillion cookies total",100000000000000000000000000000000000,23,""
"The land of milk and cookies","Bake 1 undecillion cookies","Cookies Baked","Normal","Bake 1 undecillion cookies total",1000000000000000000000000000000000000,24,""
"He who controls the cookies","Bake 100 undecillion cookies","Cookies Baked","Normal","Bake 100 undecillion cookies total",100000000000000000000000000000000000000,25,""
"Tonight we bake","Bake 1 duodecillion cookies","Cookies Baked","Normal","Bake 1 duodecillion cookies total",1000000000000000000000000000000000000000,26,""
"Baking bad","Bake 100 duodecillion cookies","Cookies Baked","Normal","Bake 100 duodecillion cookies total",100000000000000000000000000000000000000000,27,""
"His cookies over heaven","Bake 1 tredecillion cookies","Cookies Baked","Normal","Bake 1 tredecillion cookies total",1000000000000000000000000000000000000000000,28,""
"The dreams in which I'm baking","Bake 100 tredecillion cookies","Cookies Baked","Normal","Bake 100 tredecillion cookies total",100000000000000000000000000000000000000000000,29,""
"Set for life","Bake 1 quattuordecillion cookies","Cookies Baked","Normal","Bake 1 quattuordecillion cookies total",1000000000000000000000000000000000000000000000,30,""
"What's not clicking","Click the big cookie 15 times","Clicking","Normal","Click the big cookie 15 times",15,31,""
"That's just clicking","Click the big cookie 100 times","Clicking","Normal","Click the big cookie 100 times",100,32,""
"Clicking a lot","Click the big cookie 1,000 times","Clicking","Normal","Click the big cookie 1,000 times",1000,33,""
"Clicktastic","Click the big cookie 10,000 times","Clicking","Normal","Click the big cookie 10,000 times",10000,34,""
"Clickathlon","Click the big cookie 100,000 times","Clicking","Normal","Click the big cookie 100,000 times",100000,35,""
"Clickolympics","Click the big cookie 1 million times","Clicking","Normal","Click the big cookie 1 million times",1000000,36,""
"Clickorama","Click the big cookie 10 million times","Clicking","Normal","Click the big cookie 10 million times",10000000,37,""
"Clickasmic","Click the big cookie 100 million times","Clicking","Normal","Click the big cookie 100 million times",100000000,38,""
"Clickageddon","Click the big cookie 1 billion times","Clicking","Normal","Click the big cookie 1 billion times",1000000000,39,""
"Clicknarok","Click the big cookie 10 billion times","Clicking","Normal","Click the big cookie 10 billion times",10000000000,40,""
"Clickastrophe","Click the big cookie 100 billion times","Clicking","Normal","Click the big cookie 100 billion times",100000000000,41,""
"Clickataclysm","Click the big cookie 1 trillion times","Clicking","Normal","Click the big cookie 1 trillion times",1000000000000,42,""
"Clickpocalypse","Click the big cookie 10 trillion times","Clicking","Normal","Click the big cookie 10 trillion times",10000000000000,43,""
"Clickessiah","Click the big cookie 100 trillion times","Clicking","Normal","Click the big cookie 100 trillion times",100000000000000,44,""
"Clickblivion","Click the big cookie 1 quadrillion times","Clicking","Normal","Click the big cookie 1 quadrillion times",1000000000000000,45,""
"Casual baking","Bake 1 cookie per second","CpS","Normal","Reach 1 CpS",1,46,""
"Hardcore baking","Bake 10 cookies per second","CpS","Normal","Reach 10 CpS",10,47,""
"Steady tasty stream","Bake 100 cookies per second","CpS","Normal","Reach 100 CpS",100,48,""
"Cookie monster","Bake 1,000 cookies per second","CpS","Normal","Reach 1,000 CpS",1000,49,""
"Mass producer","Bake 10,000 cookies per second","CpS","Normal","Reach 10,000 CpS",10000,50,""
"Cookie vortex","Bake 100,000 cookies per second","CpS","Normal","Reach 100,000 CpS",100000,51,""
"Cookie pulsar","Bake 1 million cookies per second","CpS","Normal","Reach 1 million CpS",1000000,52,""
"Cookie quasar","Bake 10 million cookies per second","CpS","Normal","Reach 10 million CpS",10000000,53,""
"Oh hey you're still here","Bake 100 million cookies per second","CpS","Normal","Reach 100 million CpS",100000000,54,""
"Let's never bake again","Bake 1 billion cookies per second","CpS","Normal","Reach 1 billion CpS",1000000000,55,""
"A world filled with cookies","Bake 10 billion cookies per second","CpS","Normal","Reach 10 billion CpS",10000000000,56,""
"When this baby hits 36 quadrillion cookies per hour","Bake 100 billion cookies per second","CpS","Normal","Reach 100 billion CpS",100000000000,57,""
"Fast and delicious","Bake 1 trillion cookies per second","CpS","Normal","Reach 1 trillion CpS",1000000000000,58,""
"Bionic baker","Bake 10 trillion cookies per second","CpS","Normal","Reach 10 trillion CpS",10000000000000,59,""
"The incredible machine","Bake 100 trillion cookies per second","CpS","Normal","Reach 100 trillion CpS",100000000000000,60,""
"Ludicrous speed","Bake 1 quadrillion cookies per second","CpS","Normal","Reach 1 quadrillion CpS",1000000000000000,61,""
"Warp speed","Bake 10 quadrillion cookies per second","CpS","Normal","Reach 10 quadrillion CpS",10000000000000000,62,""
"Ridiculous speed","Bake 100 quadrillion cookies per second","CpS","Normal","Reach 100 quadrillion CpS",100000000000000000,63,""
"Absurd speed","Bake 1 quintillion cookies per second","CpS","Normal","Reach 1 quintillion CpS",1000000000000000000,64,""
"Banana speed","Bake 10 quintillion cookies per second","CpS","Normal","Reach 10 quintillion CpS",10000000000000000000,65,""
"Cookie clicker forever and forever","Bake 100 quintillion cookies per second","CpS","Normal","Reach 100 quintillion CpS",100000000000000000000,66,""
"Overdrive","Bake 1 sextillion cookies per second","CpS","Normal","Reach 1 sextillion CpS",1000000000000000000000,67,""
"Panic! at the biscuit","Bake 10 sextillion cookies per second","CpS","Normal","Reach 10 sextillion CpS",10000000000000000000000,68,""
"Whoah nelly","Bake 100 sextillion cookies per second","CpS","Normal","Reach 100 sextillion CpS",100000000000000000000000,69,""
"Oh my days","Bake 1 septillion cookies per second","CpS","Normal","Reach 1 septillion CpS",1000000000000000000000000,70,""
"Cursor","Have 1 cursor","Building","Normal","Own 1 cursor",1,71,"Building achievement"
"Pointer","Have 10 cursors","Building","Normal","Own 10 cursors",10,72,"Building achievement"
"Hand","Have 25 cursors","Building","Normal","Own 25 cursors",25,73,"Building achievement"
"Finger","Have 50 cursors","Building","Normal","Own 50 cursors",50,74,"Building achievement"
"Thumb","Have 100 cursors","Building","Normal","Own 100 cursors",100,75,"Building achievement"
"Index finger","Have 150 cursors","Building","Normal","Own 150 cursors",150,76,"Building achievement"
"Pinky","Have 200 cursors","Building","Normal","Own 200 cursors",200,77,"Building achievement"
"Carpal tunnel prevention cream","Have 250 cursors","Building","Normal","Own 250 cursors",250,78,"Building achievement"
"Leisure","Have 300 cursors","Building","Normal","Own 300 cursors",300,79,"Building achievement"
"Thousand-finger discount","Have 350 cursors","Building","Normal","Own 350 cursors",350,80,"Building achievement"
"Million-finger discount","Have 400 cursors","Building","Normal","Own 400 cursors",400,81,"Building achievement"
"Billion-finger discount","Have 450 cursors","Building","Normal","Own 450 cursors",450,82,"Building achievement"
"Trillion-finger discount","Have 500 cursors","Building","Normal","Own 500 cursors",500,83,"Building achievement"
"Quadrillion-finger discount","Have 550 cursors","Building","Normal","Own 550 cursors",550,84,"Building achievement"
"Quintillion-finger discount","Have 600 cursors","Building","Normal","Own 600 cursors",600,85,"Building achievement"
"Grandma","Have 1 grandma","Building","Normal","Own 1 grandma",1,86,"Building achievement"
"Grandma's neighbours","Have 10 grandmas","Building","Normal","Own 10 grandmas",10,87,"Building achievement"
"Sloppy kiss","Have 25 grandmas","Building","Normal","Own 25 grandmas",25,88,"Building achievement"
"Retirement home","Have 50 grandmas","Building","Normal","Own 50 grandmas",50,89,"Building achievement"
"Friend of the ancients","Have 100 grandmas","Building","Normal","Own 100 grandmas",100,90,"Building achievement"
"Ruler of the ancients","Have 150 grandmas","Building","Normal","Own 150 grandmas",150,91,"Building achievement"
"The old never bothered me anyway","Have 200 grandmas","Building","Normal","Own 200 grandmas",200,92,"Building achievement"
"The agemaster","Have 250 grandmas","Building","Normal","Own 250 grandmas",250,93,"Building achievement"
"To oldly go","Have 300 grandmas","Building","Normal","Own 300 grandmas",300,94,"Building achievement"
"Aged well","Have 350 grandmas","Building","Normal","Own 350 grandmas",350,95,"Building achievement"
"101st birthday","Have 400 grandmas","Building","Normal","Own 400 grandmas",400,96,"Building achievement"
"Defense of the ancients","Have 450 grandmas","Building","Normal","Own 450 grandmas",450,97,"Building achievement"
"Harvest season","Have 500 grandmas","Building","Normal","Own 500 grandmas",500,98,"Building achievement"
"Bingo center/grandma","Have 550 grandmas","Building","Normal","Own 550 grandmas",550,99,"Building achievement"
"Catacombs of age","Have 600 grandmas","Building","Normal","Own 600 grandmas",600,100,"Building achievement"
"My first farm","Have 1 farm","Building","Normal","Own 1 farm",1,101,"Building achievement"
"Reap what you sow","Have 10 farms","Building","Normal","Own 10 farms",10,102,"Building achievement"
"Farm ill","Have 25 farms","Building","Normal","Own 25 farms",25,103,"Building achievement"
"Perfected agriculture","Have 50 farms","Building","Normal","Own 50 farms",50,104,"Building achievement"
"Homegrown","Have 100 farms","Building","Normal","Own 100 farms",100,105,"Building achievement"
"Gardener extraordinaire","Have 150 farms","Building","Normal","Own 150 farms",150,106,"Building achievement"
"Seedy business","Have 200 farms","Building","Normal","Own 200 farms",200,107,"Building achievement"
"You and the beanstalk","Have 250 farms","Building","Normal","Own 250 farms",250,108,"Building achievement"
"Harvest moon","Have 300 farms","Building","Normal","Own 300 farms",300,109,"Building achievement"
"Make like a tree","Have 350 farms","Building","Normal","Own 350 farms",350,110,"Building achievement"
"Sharpest tool in the shed","Have 400 farms","Building","Normal","Own 400 farms",400,111,"Building achievement"
"Overripe","Have 450 farms","Building","Normal","Own 450 farms",450,112,"Building achievement"
"In the green","Have 500 farms","Building","Normal","Own 500 farms",500,113,"Building achievement"
"It's grown on you","Have 550 farms","Building","Normal","Own 550 farms",550,114,"Building achievement"
"Fruit of the womb","Have 600 farms","Building","Normal","Own 600 farms",600,115,"Building achievement"
"You know the drill","Have 1 mine","Building","Normal","Own 1 mine",1,116,"Building achievement"
"Excavation site","Have 10 mines","Building","Normal","Own 10 mines",10,117,"Building achievement"
"Hollow the earth","Have 25 mines","Building","Normal","Own 25 mines",25,118,"Building achievement"
"Can you dig it","Have 50 mines","Building","Normal","Own 50 mines",50,119,"Building achievement"
"The center of the Earth","Have 100 mines","Building","Normal","Own 100 mines",100,120,"Building achievement"
"Tectonic ambassador","Have 150 mines","Building","Normal","Own 150 mines",150,121,"Building achievement"
"Rushing to the depths","Have 200 mines","Building","Normal","Own 200 mines",200,122,"Building achievement"
"More you know","Have 250 mines","Building","Normal","Own 250 mines",250,123,"Building achievement"
"Rock on","Have 300 mines","Building","Normal","Own 300 mines",300,124,"Building achievement"
"Rocking everywhere","Have 350 mines","Building","Normal","Own 350 mines",350,125,"Building achievement"
"The meteor men beg to differ","Have 400 mines","Building","Normal","Own 400 mines",400,126,"Building achievement"
"Perforated planet","Have 450 mines","Building","Normal","Own 450 mines",450,127,"Building achievement"
"We dig it!","Have 500 mines","Building","Normal","Own 500 mines",500,128,"Building achievement"
"My world's on fire","Have 550 mines","Building","Normal","Own 550 mines",550,129,"Building achievement"
"Earth-shaker","Have 600 mines","Building","Normal","Own 600 mines",600,130,"Building achievement"
"Production chain","Have 1 factory","Building","Normal","Own 1 factory",1,131,"Building achievement"
"Industrial revolution","Have 10 factories","Building","Normal","Own 10 factories",10,132,"Building achievement"
"Global warming","Have 25 factories","Building","Normal","Own 25 factories",25,133,"Building achievement"
"Ultimate automation","Have 50 factories","Building","Normal","Own 50 factories",50,134,"Building achievement"
"Technocracy","Have 100 factories","Building","Normal","Own 100 factories",100,135,"Building achievement"
"Rise of the machines","Have 150 factories","Building","Normal","Own 150 factories",150,136,"Building achievement"
"Modern times","Have 200 factories","Building","Normal","Own 200 factories",200,137,"Building achievement"
"Ex machina","Have 250 factories","Building","Normal","Own 250 factories",250,138,"Building achievement"
"Deus Ex Machina","Have 300 factories","Building","Normal","Own 300 factories",300,139,"Building achievement"
"In full gear","Have 350 factories","Building","Normal","Own 350 factories",350,140,"Building achievement"
"Break the mold","Have 400 factories","Building","Normal","Own 400 factories",400,141,"Building achievement"
"Replaced by robots","Have 450 factories","Building","Normal","Own 450 factories",450,142,"Building achievement"
"Build to last","Have 500 factories","Building","Normal","Own 500 factories",500,143,"Building achievement"
"Assembly line","Have 550 factories","Building","Normal","Own 550 factories",550,144,"Building achievement"
"Bout of hot air","Have 600 factories","Building","Normal","Own 600 factories",600,145,"Building achievement"
"Your first bank","Have 1 bank","Building","Normal","Own 1 bank",1,146,"Building achievement"
"Pillar of economy","Have 10 banks","Building","Normal","Own 10 banks",10,147,"Building achievement"
"Capital","Have 25 banks","Building","Normal","Own 25 banks",25,148,"Building achievement"
"Vaults of plenty","Have 50 banks","Building","Normal","Own 50 banks",50,149,"Building achievement"
"The mint","Have 100 banks","Building","Normal","Own 100 banks",100,150,"Building achievement"
"Pyramid scheme","Have 150 banks","Building","Normal","Own 150 banks",150,151,"Building achievement"
"Ponzi scheme","Have 200 banks","Building","Normal","Own 200 banks",200,152,"Building achievement"
"Getting that bag","Have 250 banks","Building","Normal","Own 250 banks",250,153,"Building achievement"
"The leader is good, the leader is great","Have 300 banks","Building","Normal","Own 300 banks",300,154,"Building achievement"
"And now you're even older","Have 350 banks","Building","Normal","Own 350 banks",350,155,"Building achievement"
"A round of applause","Have 400 banks","Building","Normal","Own 400 banks",400,156,"Building achievement"
"All on deck","Have 450 banks","Building","Normal","Own 450 banks",450,157,"Building achievement"
"Beyond quality","Have 500 banks","Building","Normal","Own 500 banks",500,158,"Building achievement"
"All the stars in heaven","Have 550 banks","Building","Normal","Own 550 banks",550,159,"Building achievement"
"Sexcentennial and a half","Have 600 banks","Building","Normal","Own 600 banks",600,160,"Building achievement"
"Your first temple","Have 1 temple","Building","Normal","Own 1 temple",1,161,"Building achievement"
"A heavenly palace","Have 10 temples","Building","Normal","Own 10 temples",10,162,"Building achievement"
"The order of the cosmic","Have 25 temples","Building","Normal","Own 25 temples",25,163,"Building achievement"
"Pointless ritual","Have 50 temples","Building","Normal","Own 50 temples",50,164,"Building achievement"
"Sacrificial altar","Have 100 temples","Building","Normal","Own 100 temples",100,165,"Building achievement"
"Get with the program","Have 150 temples","Building","Normal","Own 150 temples",150,166,"Building achievement"
"Preaches and cream","Have 200 temples","Building","Normal","Own 200 temples",200,167,"Building achievement"
"Thus spoke you","Have 250 temples","Building","Normal","Own 250 temples",250,168,"Building achievement"
"It belongs in a bakery","Have 300 temples","Building","Normal","Own 300 temples",300,169,"Building achievement"
"Lovely year for it","Have 350 temples","Building","Normal","Own 350 temples",350,170,"Building achievement"
"Unprecedented precedent","Have 400 temples","Building","Normal","Own 400 temples",400,171,"Building achievement"
"That's just great","Have 450 temples","Building","Normal","Own 450 temples",450,172,"Building achievement"
"Sublime","Have 500 temples","Building","Normal","Own 500 temples",500,173,"Building achievement"
"Emerald Shrine","Have 550 temples","Building","Normal","Own 550 temples",550,174,"Building achievement"
"Jade Shrine","Have 600 temples","Building","Normal","Own 600 temples",600,175,"Building achievement"
"Bewitched","Have 1 wizard tower","Building","Normal","Own 1 wizard tower",1,176,"Building achievement"
"The sorcerer's apprentice","Have 10 wizard towers","Building","Normal","Own 10 wizard towers",10,177,"Building achievement"
"Charms and enchantments","Have 25 wizard towers","Building","Normal","Own 25 wizard towers",25,178,"Building achievement"
"Curses and maledictions","Have 50 wizard towers","Building","Normal","Own 50 wizard towers",50,179,"Building achievement"
"Magic kingdom","Have 100 wizard towers","Building","Normal","Own 100 wizard towers",100,180,"Building achievement"
"The wizarding world","Have 150 wizard towers","Building","Normal","Own 150 wizard towers",150,181,"Building achievement"
"And now for my next trick","Have 200 wizard towers","Building","Normal","Own 200 wizard towers",200,182,"Building achievement"
"Hocus Pocus","Have 250 wizard towers","Building","Normal","Own 250 wizard towers",250,183,"Building achievement"
"The Prestige","Have 300 wizard towers","Building","Normal","Own 300 wizard towers",300,184,"Building achievement"
"Sleight of hand","Have 350 wizard towers","Building","Normal","Own 350 wizard towers",350,185,"Building achievement"
"Spell it out for you","Have 400 wizard towers","Building","Normal","Own 400 wizard towers",400,186,"Building achievement"
"The Pandorica opens","Have 450 wizard towers","Building","Normal","Own 450 wizard towers",450,187,"Building achievement"
"Abra-ca-dough","Have 500 wizard towers","Building","Normal","Own 500 wizard towers",500,188,"Building achievement"
"Too many rabbits, not enough hats","Have 550 wizard towers","Building","Normal","Own 550 wizard towers",550,189,"Building achievement"
"Rhyming spell","Have 600 wizard towers","Building","Normal","Own 600 wizard towers",600,190,"Building achievement"
"Expedition","Have 1 shipment","Building","Normal","Own 1 shipment",1,191,"Building achievement"
